Image,Title,Rating,Price,Ad_Organic
https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,"Lenovo Ideapad Slim 3, 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop",4.1 out of 5 stars,"76,990",Organic
https://m.media-amazon.com/images/I/81PaO9Q1WFL._AC_UY218_.jpg,"Lenovo Yoga Slim 7, Intel Core Ultra 5 125H, 16GB RAM, 512GB SSD, AI PC, WUXGA-OLED, 14""/35.5cm, Windows 11, Microsoft 365 Basic + Office 2024, Grey, 1.39Kg, 83CV00DFIN, AI Powered Laptop",4.2 out of 5 stars,"79,990",Organic
https://m.media-amazon.com/images/I/71kKQjKzW1L._AC_UY218_.jpg,"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Sky Blue",4.8 out of 5 stars,"1,10,300",Ad
https://m.media-amazon.com/images/I/71eX66ytH+L._AC_UY218_.jpg,"Apple 2026 MacBook Air 13″ Laptop with M5 chip: AI and Apple Intelligence, 34.46 cm (13.6″) Liquid Retina Display, 16GB Unified Memory, 512GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",4.5 out of 5 stars,"1,09,496",Ad
https://m.media-amazon.com/images/I/61SHFVKs+AL._AC_UY218_.jpg,"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",4.0 out of 5 stars,"44,600",Organic
https://m.media-amazon.com/images/I/61EDWCjLk8L._AC_UY218_.jpg,"ASUS Vivobook Go 15 (2025), AMD Ryzen 5 7520U Thin & Light Laptop(16GB RAM/512GB SSD/FHD/15.6""/60Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Backlit KB/Mixed Black/1.63Kg) E1504FA-BQ2414WS",4.2 out of 5 stars,"54,490",Organic
https://m.media-amazon.com/images/I/51JfDmvAvkL._AC_UY218_.jpg,"HP Business Laptop (2026) AMD Ryzen 5 7535U 8GB DDR5 RAM, 512GB SSD, AMD Radeon Graphics, Windows 11 Pro, 15.6"" HD Display, Thin & Light, Turbo Silver, 1.45 kg",5.0 out of 5 stars,"46,990",Organic
https://m.media-amazon.com/images/I/51PG5cPDTsL._AC_UY218_.jpg,"𝗟𝗲𝗻𝗼𝘃𝗼Model L490 Laptop |Core i5 8th Gen | 8GB RAM | 256GB SSD | 14"" Full HD | Win 10 pro | A+ Condition (Tested & Pre-Owned)",N/A,"20,499",Organic
https://m.media-amazon.com/images/I/61XOR7fpbVL._AC_UY218_.jpg,"Lenovo Ideapad 5 2-in-1 13th Gen Core i5-13420H (16GB RAM/512GB SSD/Windows 11/Office Home 2024/WUXGA IPS/14 (35.5cm)/Touchscreen 2-in-1/3Mon.Game Pass/Grey/1.6kg), 83KX0059IN Laptop",4.2 out of 5 stars,"79,490",Organic
https://m.media-amazon.com/images/I/71ZlIDunitL._AC_UY218_.jpg,"HP Smartchoice OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365(1yr)* Office24, Silver, 1.35kg, he0014QU, Next-Gen AI Laptop",4.1 out of 5 stars,"75,990",Organic
